concept_id,concept_code,concept_name,vocabulary_id
37396219,715950008,ALK-positive large B-cell lymphoma,SNOMED
40491438,448707007,Abdominal wall tumor,SNOMED
4084437,281566005,Abdominothoracic neuroblastoma,SNOMED
4300558,403901001,Acantholytic squamous cell carcinoma,SNOMED
4112744,254654004,Acantholytic squamous cell carcinoma of skin,SNOMED
4187635,413389003,Accelerated phase chronic myeloid leukemia,SNOMED
37204852,783771003,Acinar cell carcinoma of pancreas,SNOMED
37311684,822969007,Acinar cell cystadenocarcinoma of lung,SNOMED
37311683,822970008,Acinar cell cystadenocarcinoma of prostate,SNOMED
35622697,764856008,Acquired cystic disease associated renal cell carcinoma,SNOMED
4110726,254732008,Acral lentiginous malignant melanoma of skin,SNOMED
4304266,418686001,Actinic keratosis of eyelid,SNOMED
4081867,278453007,Acute biphenotypic leukemia,SNOMED
4173970,277604002,Acute eosinophilic leukemia,SNOMED
138708,91855006,Acute leukemia,SNOMED
135496,91854005,Acute leukemia in remission,SNOMED
36715589,721308005,Acute leukemia of ambiguous lineage,SNOMED
4153344,371012000,"Acute lymphoblastic leukemia, transitional pre-B-cell",SNOMED
134305,91857003,Acute lymphoid leukemia,SNOMED
141816,91856007,Acute lymphoid leukemia in remission,SNOMED
36712834,1.2301E+13,Acute lymphoid leukemia relapse,SNOMED
4079686,277602003,Acute megakaryoblastic leukemia,SNOMED
4082485,277601005,Acute monoblastic leukemia,SNOMED
44784490,698646006,Acute monoblastic leukemia in remission,SNOMED
135768,413441006,Acute monocytic leukemia,SNOMED
140672,91858008,Acute monocytic leukemia in remission,SNOMED
4189938,413442004,Acute monocytic/monoblastic leukemia,SNOMED
44807009,8.15361E+14,Acute myeloid leukaemia with 11q23 abnormality,SNOMED
35623630,766045006,Acute myeloid leukemia and myelodysplastic syndrome related to alkylating agent,SNOMED
35623633,766048008,Acute myeloid leukemia and myelodysplastic syndrome related to radiation,SNOMED
35623631,766046007,Acute myeloid leukemia and myelodysplastic syndrome related to topoisomerase type 2 inhibitor,SNOMED
36715587,721305008,Acute myeloid leukemia due to recurrent genetic abnormality,SNOMED
135762,91860005,Acute myeloid leukemia in remission,SNOMED
35622696,764855007,Acute myeloid leukemia with CEBPA somatic mutations,SNOMED
42539431,734522002,Acute myeloid leukemia with FMS-like tyrosine kinase-3 mutation,SNOMED
35622003,763309005,Acute myeloid leukemia with NPM1 somatic mutation,SNOMED
36683269,780844005,Acute myeloid leukemia with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1,SNOMED
4234749,359648001,"Acute myeloid leukemia with maturation, FAB M2",SNOMED
4138903,426124006,"Acute myeloid leukemia with maturation, FAB M2, in remission",SNOMED
40483761,445448008,Acute myeloid leukemia with myelodysplasia-related changes,SNOMED
37116722,733598001,Acute myeloid leukemia with t(6;9)(p23;q34) translocation,SNOMED
37110870,725390002,Acute myeloid leukemia with t(8;16)(p11;p13) translocation,SNOMED
40481524,444911000,Acute myeloid leukemia with t(9:11)(p22;q23); MLLT3-MLL,SNOMED
4230253,359640008,"Acute myeloid leukemia without maturation, FAB M1",SNOMED
764782,6.1321E+13,"Acute myeloid leukemia without maturation, FAB M1 in remission",SNOMED
140352,91861009,"Acute myeloid leukemia, disease",SNOMED
4233531,359631009,"Acute myeloid leukemia, minimal differentiation, FAB M0",SNOMED
764781,6.1311E+13,"Acute myeloid leukemia, minimal differentiation, FAB M0 in remission",SNOMED
4116880,285839005,Acute myelomonocytic leukemia - eosinophilic variant,SNOMED
4003187,110005000,"Acute myelomonocytic leukemia, FAB M4",SNOMED
4142105,427658007,"Acute myelomonocytic leukemia, FAB M4, in remission",SNOMED
4003184,109991003,Acute panmyelosis with myelofibrosis,SNOMED
4112803,285769009,Acute promyelocytic leukemia - hypogranular variant,SNOMED
4002497,110004001,"Acute promyelocytic leukemia, FAB M3",SNOMED
4137687,425869007,"Acute promyelocytic leukemia, FAB M3, in remission",SNOMED
4161912,433067002,Adamantinoma of femur,SNOMED
4144194,307609003,Adamantinoma of long bone,SNOMED
759810,1.01371E+14,Adamantinoma of long bone of lower limb,SNOMED
4311148,423595004,Adenocarcinoma carcinomatosis,SNOMED
37016272,2.9421E+13,Adenocarcinoma in adenomatous polyp,SNOMED
765158,2.9431E+13,Adenocarcinoma in villous adenoma,SNOMED
35622690,764845008,Adenocarcinoma of anal canal,SNOMED
4309574,423607006,Adenocarcinoma of anus,SNOMED
4184849,413445002,Adenocarcinoma of appendix,SNOMED
4111028,255110003,Adenocarcinoma of bladder,SNOMED
4184850,413446001,Adenocarcinoma of cecum,SNOMED
4110872,254887002,Adenocarcinoma of cervix,SNOMED
4256775,408644002,Adenocarcinoma of duodenum,SNOMED
4048226,123845008,Adenocarcinoma of endometrium,SNOMED
4081043,276803003,Adenocarcinoma of esophagus,SNOMED
35623402,765741003,Adenocarcinoma of gallbladder and extrahepatic biliary tract,SNOMED
40479582,441535001,Adenocarcinoma of head and neck,SNOMED
4119828,304545002,Adenocarcinoma of ileum,SNOMED
4112975,254988008,Adenocarcinoma of lacrimal gland,SNOMED
4256776,408645001,Adenocarcinoma of large intestine,SNOMED
42539251,15956341000119105,Adenocarcinoma of left lung,SNOMED
4252535,408646000,Adenocarcinoma of liver,SNOMED
37204022,787091002,Adenocarcinoma of liver and intrahepatic biliary tract,SNOMED
40493492,449153001,Adenocarcinoma of lower esophagus,SNOMED
4112738,254626006,Adenocarcinoma of lung,SNOMED
4308784,424078005,"Adenocarcinoma of lung, stage I",SNOMED
4314832,424632001,"Adenocarcinoma of lung, stage II",SNOMED
4311452,424454009,"Adenocarcinoma of lung, stage III",SNOMED
4314156,424993006,"Adenocarcinoma of lung, stage IV",SNOMED
4307152,423106003,Adenocarcinoma of nasopharynx,SNOMED
4114215,255017003,Adenocarcinoma of non-pigmented epithelium of ciliary body,SNOMED
45763891,700423003,Adenocarcinoma of pancreas,SNOMED
4308015,423746001,Adenocarcinoma of pelvis,SNOMED
35622691,764846009,Adenocarcinoma of penis,SNOMED
4112984,255016007,Adenocarcinoma of pigmented epithelium of ciliary body,SNOMED
4161028,399490008,Adenocarcinoma of prostate,SNOMED
4322376,425178004,Adenocarcinoma of rectosigmoid junction,SNOMED
4110575,254582000,Adenocarcinoma of rectum,SNOMED
36712981,15956381000119100,Adenocarcinoma of right lung,SNOMED
40486583,447800002,Adenocarcinoma of scrotum,SNOMED
4200514,301756000,Adenocarcinoma of sigmoid colon,SNOMED
4313335,424440001,Adenocarcinoma of small intestine,SNOMED
4248802,408647009,Adenocarcinoma of stomach,SNOMED
4202789,309245001,Adenocarcinoma of uterus,SNOMED
35621807,763063001,Adenoid basal carcinoma of cervix uteri,SNOMED
35621808,763064007,Adenoid cystic carcinoma of cervix uteri,SNOMED
4114201,254987003,Adenoid cystic carcinoma of lacrimal gland,SNOMED
4308627,423318000,Adenoid cystic carcinoma of oropharynx,SNOMED
4313754,423615009,Adenoid cystic carcinoma of parotid gland,SNOMED
