concept_id,concept_code,concept_name,vocabulary_id
192276,190829000,Chronic gouty nephropathy,SNOMED
192279,127013003,Kidney disorder due to diabetes mellitus,SNOMED
192359,42399005,Renal failure syndrome,SNOMED
192362,197591002,Nephrotic syndrome with membranoproliferative glomerulonephritis,SNOMED
192364,197603000,Nephrotic syndrome associated with another disorder,SNOMED
192679,75150001,Renal disease in pregnancy AND/OR puerperium without hypertension,SNOMED
192684,198953006,"Renal hypertension complicating pregnancy, childbirth and the puerperium - not delivered",SNOMED
192686,88531004,Hypertrophy of kidney,SNOMED
192767,18796000,Injury of renal artery,SNOMED
192958,9918001,Mobile kidney,SNOMED
192964,129128006,Infectious disorder of kidney,SNOMED
193016,236439005,Cystic disease of kidney,SNOMED
193170,267430007,Renal glycosuria,SNOMED
193253,52845002,Nephritis,SNOMED
193493,193003,Benign hypertensive renal disease,SNOMED
193512,195438008,Embolism and thrombosis of the renal vein,SNOMED
193519,197663003,Impaired renal function disorder,SNOMED
193620,20341008,Injury of kidney without open wound into abdominal cavity,SNOMED
193782,46177005,End-stage renal disease,SNOMED
193955,44323002,Tuberculosis of kidney,SNOMED
194152,204938007,Renal agenesis and dysgenesis,SNOMED
194200,74324004,Laceration of kidney without open wound into abdominal cavity,SNOMED
194385,36184004,Aneurysm of renal artery,SNOMED
194405,197590001,Nephrotic syndrome with membranous glomerulonephritis,SNOMED
194685,197764002,Non-obstructive reflux-associated chronic pyelonephritis,SNOMED
194686,105999006,Acquired renal cystic disease,SNOMED
194994,45456005,Renal infarction,SNOMED
195014,43629001,Renal failure following molar AND/OR ectopic pregnancy,SNOMED
195060,432461000,Congenital anomaly of renal blood vessel,SNOMED
195072,236443009,Medullary sponge kidney,SNOMED
195125,5753006,Injury of renal vein,SNOMED
195223,21764004,Renal carnitine transport defect,SNOMED
195289,50581000,Goodpasture's syndrome,SNOMED
195314,52254009,Nephrotic syndrome,SNOMED
195363,44513007,Congenital anomaly of the kidney,SNOMED
195400,28545001,Injury of renal vessels,SNOMED
195480,93985007,Primary malignant neoplasm of renal pelvis,SNOMED
195498,92165001,Benign neoplasm of kidney,SNOMED
195556,86234004,Hypertensive heart AND renal disease,SNOMED
195595,4576001,Legal termination of pregnancy complicated by renal failure,SNOMED
195597,52777008,Bilateral small kidney,SNOMED
195600,8996006,Illegal termination of pregnancy complicated by renal failure,SNOMED
195737,102455002,Hemorrhagic nephroso-nephritis,SNOMED
195834,45281005,Atherosclerosis of renal artery,SNOMED
195861,236448000,Small kidney,SNOMED
196053,94360002,Secondary malignant neoplasm of kidney,SNOMED
196260,61474001,Injury of kidney with open wound into abdominal cavity,SNOMED
196455,51292008,Hepatorenal syndrome,SNOMED
196464,236392004,Rapidly progressive glomerulonephritis,SNOMED
196653,363518003,Malignant tumor of kidney,SNOMED
196813,77945009,Simple renal cyst,SNOMED
196852,210206008,Kidney laceration with open wound into cavity,SNOMED
197035,197769007,Acute pyelonephritis with medullary necrosis,SNOMED
197253,111407006,Hemolytic uremic syndrome,SNOMED
197319,197589005,Nephrotic syndrome with proliferative glomerulonephritis,SNOMED
197320,14669001,Acute renal failure syndrome,SNOMED
197329,429224003,Acute renal failure due to acute cortical necrosis,SNOMED
197656,204957003,Medullary cystic disease of the kidney,SNOMED
197711,56906005,Hematoma of kidney without rupture of capsule AND with open wound into abdominal cavity,SNOMED
197930,198949009,"Renal hypertension complicating pregnancy, childbirth and the puerperium",SNOMED
198124,90708001,Kidney disease,SNOMED
198185,90688005,Chronic renal failure,SNOMED
198192,197772000,Renal and perinephric abscess,SNOMED
198215,198954000,"Renal hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication",SNOMED
198402,94889006,Neoplasm of uncertain behavior of kidney,SNOMED
198985,93849006,Primary malignant neoplasm of kidney,SNOMED
199071,266549004,Nephrotic syndrome with minimal change glomerulonephritis,SNOMED
