concept_id,concept_code,concept_name,vocabulary_id
2003588,55.23,Closed [percutaneous] [needle] biopsy of kidney,ICD9Proc
2003589,55.24,Open biopsy of kidney,ICD9Proc
2003591,55.3,Local excision or destruction of lesion or tissue of kidney,ICD9Proc
2003607,55.39,Other local destruction or excision of renal lesion or tissue,ICD9Proc
2003916,59.21,Biopsy of perirenal or perivesical tissue,ICD9Proc
2003938,59.91,Excision of perirenal or perivesical tissue,ICD9Proc
2109566,50200,"Renal biopsy; percutaneous, by trocar or needle",CPT4
2109567,50205,Renal biopsy; by surgical exposure of kidney,CPT4
2109576,50280,Excision or unroofing of cyst(s) of kidney,CPT4
2109623,50555,"Renal endoscopy through established nephrostomy or pyelostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with biopsy",CPT4
2109624,50557,"Renal endoscopy through established nephrostomy or pyelostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with fulguration and/or incision, with or without biopsy",CPT4
2109630,50574,"Renal endoscopy through nephrotomy or pyelotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with biopsy",CPT4
2109632,50576,"Renal endoscopy through nephrotomy or pyelotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with fulguration and/or incision, with or without biopsy",CPT4
2109769,52007,"Cystourethroscopy, with ureteral catheterization, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with brush biopsy of ureter and/or renal pelvis",CPT4
2109818,52354,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with biopsy and/or fulguration of ureteral or renal pelvic lesion",CPT4
2773680,0TB00ZX,"Excision of Right Kidney, Open Approach, Diagnostic",ICD10PCS
2773681,0TB00ZZ,"Excision of Right Kidney, Open Approach",ICD10PCS
2773682,0TB03ZX,"Excision of Right Kidney, Percutaneous Approach, Diagnostic",ICD10PCS
2773683,0TB03ZZ,"Excision of Right Kidney, Percutaneous Approach",ICD10PCS
2773684,0TB04ZX,"Excision of Right Kidney, Percutaneous Endoscopic Approach, Diagnostic",ICD10PCS
2773685,0TB04ZZ,"Excision of Right Kidney, Percutaneous Endoscopic Approach",ICD10PCS
2773686,0TB07ZX,"Excision of Right Kidney, Via Natural or Artificial Opening, Diagnostic",ICD10PCS
2773687,0TB07ZZ,"Excision of Right Kidney, Via Natural or Artificial Opening",ICD10PCS
