concept_id,concept_code,concept_name,body_system,progressive,icd
44822885,184,Malignant neoplasm of other and unspecified female genital organs,malignancy,no,9
44822887,185,Malignant neoplasm of prostate,malignancy,no,9
44821735,195,Malignant neoplasm of other and ill-defined sites,malignancy,no,9
44821758,204,Lymphoid leukemia,malignancy,no,9
44820606,162,"Malignant neoplasm of trachea, bronchus, and lung",malignancy,no,9
44820621,191,Malignant neoplasm of brain,malignancy,no,9
44820676,238.77,Post-transplant lymphoproliferative disorder (PTLD),malignancy,no,9
44819422,147,Malignant neoplasm of nasopharynx,malignancy,no,9
44819425,163,Malignant neoplasm of pleura,malignancy,no,9
44819434,174,Malignant neoplasm of female breast,malignancy,no,9
44819441,194,Malignant neoplasm of other endocrine glands and related structures,malignancy,no,9
44819442,197,Secondary malignant neoplasm of respiratory and digestive systems,malignancy,no,9
44822869,153,Malignant neoplasm of colon,malignancy,no,9
44824056,209.3,Malignant poorly differentiated neuroendocrine tumors,malignancy,no,9
44827551,152,"Malignant neoplasm of small intestine, including duodenum",malignancy,no,9
44827557,165,Malignant neoplasm of other and ill-defined sites within the respiratory system and intrathoracic organs,malignancy,no,9
44827582,203,Multiple myeloma and immunoproliferative neoplasms,malignancy,no,9
44827586,207,Other specified leukemia,malignancy,no,9
44824020,140,Malignant neoplasm of lip,malignancy,no,9
44824027,173,Other and unspecified malignant neoplasm of skin,malignancy,no,9
44824032,187,Malignant neoplasm of penis and other male genital organs,malignancy,no,9
44824034,188,Malignant neoplasm of bladder,malignancy,no,9
44825199,161,Malignant neoplasm of larynx,malignancy,no,9
44825213,192,Malignant neoplasm of other and unspecified parts of nervous system,malignancy,no,9
44825214,193,Malignant neoplasm of thyroid gland,malignancy,no,9
44825232,205,Myeloid leukemia,malignancy,no,9
44827548,149,"Malignant neoplasm of other and ill-defined sites within the lip, oral cavity, and pharynx",malignancy,no,9
44826385,145,Malignant neoplasm of other and unspecified parts of mouth,malignancy,no,9
44826409,182,Malignant neoplasm of body of uterus,malignancy,no,9
44826411,189,Malignant neoplasm of kidney and other and unspecified urinary organs,malignancy,no,9
44826420,201,Hodgkin's disease,malignancy,no,9
44828729,151,Malignant neoplasm of stomach,malignancy,no,9
44828731,158,Malignant neoplasm of retroperitoneum and peritoneum,malignancy,no,9
44829823,200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,malignancy,no,9
44829849,208,Leukemia of unspecified cell type,malignancy,no,9
44830966,146,Malignant neoplasm of oropharynx,malignancy,no,9
44830971,157,Malignant neoplasm of pancreas,malignancy,no,9
